risk_label,latest_share,z_latest,yoy_share_delta,first_fire_ym,months_sustained,peak_z,rank,fire_level
GPS interference or jamming,0.029787234042553193,0.14612085239093786,-0.017382577278201528,201905.0,5,27.006584823278793,135.03292411639396,watch
smoke fire fumes odor,0.07446808510638298,0.40160704196771685,0.008430349257326372,201905.0,4,5.346050538553996,21.384202154215984,watch
UAS or drone encounter,0.04042553191489362,0.21082805850939285,-0.002027298273785623,201407.0,3,6.220995048545256,18.66298514563577,watch
runway incursion / ground conflict / surface movement,0.18936170212765957,-0.9865879929848699,0.007757928542753922,202106.0,4,4.244439327352336,16.977757309409345,watch
unstabilized approach,0.07446808510638298,-0.7862080350582622,-0.01043757527097551,201402.0,3,4.756831124389179,14.270493373167536,strong
laser illumination event,0.00425531914893617,,0.00425531914893617,,0,5.143550394286752,0.0,none
wake turbulence encounter,0.01276595744680851,-2.18336588333473,-0.024969891609795264,,0,4.888361506702798,0.0,none
pilot fatigue,0.02553191489361702,1.1337456587472634,0.006663990365315134,,0,3.9998030666432247,0.0,none
ATC staffing or workload pressure,0.04680851063829787,0.0911949621136687,0.009072661581694098,,0,3.0339443667548416,0.0,none
automation mode confusion,0.07659574468085106,1.0906756458046816,0.0034825371336812544,,0,2.547076270223344,0.0,none
