field,category,latest_share,z_latest,yoy_share_delta,taxonomy_suspect,first_fire_ym,months_sustained,peak_z,rank,fire_level
Person 1 | Human Factors,Troubleshooting,0.16170212765957448,-0.9160227253827692,-0.05292051384985949,False,202109.0,11,9.133662126113972,100.47028338725369,strong
Contributing Factors / Situations,Environment - Non Weather Related,0.12340425531914893,0.47704195051776627,0.04321557607386592,False,202005.0,11,8.76860681845603,96.45467500301633,strong
Anomaly,Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,0.03829787234042553,0.7925815262757078,0.0005620232838217595,False,201905.0,6,14.387036708742068,86.32222025245241,strong
Anomaly,Conflict Airborne Conflict,0.023404255319148935,-0.5959448657834656,-0.011973103171417102,False,201405.0,6,7.727871286221981,46.367227717331886,strong
Anomaly,Deviation / Discrepancy - Procedural Published Material / Policy,0.4085106382978723,-1.5903204263445454,0.0004917703733440248,False,201403.0,5,6.8069173184431815,34.03458659221591,strong
Person 1 | Human Factors,Situational Awareness,0.3595744680851064,-0.9140271034122457,-0.005991569650742656,False,201907.0,4,7.1864650277653475,28.74586011106139,strong
Anomaly,Inflight Event / Encounter CFTT / CFIT,0.1148936170212766,0.013617419690086075,0.008761541549578478,False,201401.0,3,9.535269631489248,28.605808894467742,strong
Anomaly,Deviation / Discrepancy - Procedural FAR,0.07234042553191489,-0.9561101259629791,-0.010206744279405863,False,201508.0,4,6.757066195075199,27.028264780300795,strong
Person 1 | Human Factors,Human-Machine Interface,0.05106382978723404,0.2665409134210465,0.01804496186270574,False,201711.0,3,8.886228506011633,26.6586855180349,watch
Person 1 | Human Factors,Confusion,0.06170212765957447,-1.0827073303014612,-0.03499598554797271,False,201406.0,4,6.461337053137906,25.845348212551624,strong
Aircraft 1 | Flight Phase,Initial Climb,0.05531914893617021,-1.7214378195908873,-0.010718586912886394,False,202106.0,4,5.5384248998598835,22.153699599439534,watch
Person 1 | Human Factors,Workload,0.13191489361702127,-1.3371280836139885,-0.11808510638297873,False,202204.0,4,5.160275661216134,20.641102644864535,strong
Anomaly,ATC Issue All Types,0.125531914893617,-0.8883190681086038,-0.013619028502609404,False,201407.0,3,6.867615064789024,20.60284519436707,watch
Contributing Factors / Situations,Chart Or Publication,0.05531914893617021,0.13460272539575255,-0.013077077478924129,False,202104.0,3,6.3509772818034715,19.052931845410413,strong
Contributing Factors / Situations,Weather,0.13404255319148936,1.6407241755022102,-0.0003914090726615804,False,201402.0,3,5.788790461508866,17.366371384526598,strong
Contributing Factors / Situations,Airspace Structure,0.07659574468085106,-0.6989199781646461,-0.010668406262545158,False,202308.0,4,4.116330038775764,16.465320155103058,strong
Contributing Factors / Situations,Aircraft,0.4978723404255319,1.8276535044644533,0.05919309514251303,False,202203.0,4,3.985717050307241,15.942868201228965,watch
Contributing Factors / Situations,Procedure,0.1829787234042553,-1.9564095525496035,-0.026926936973103194,False,201406.0,3,4.892873119024404,14.678619357073213,strong
Anomaly,Inflight Event / Encounter Weather / Turbulence,0.11702127659574468,1.4571043987245795,0.013247691690084301,False,201702.0,3,4.546546870143014,13.63964061042904,watch
Anomaly,Deviation / Discrepancy - Procedural Clearance,0.08297872340425531,-0.9339040857165639,-0.03966278602970695,False,202105.0,3,4.178364645434121,12.535093936302362,watch
Person 1 | Human Factors,Communication Breakdown,0.2978723404255319,-0.47416446438877075,0.029004415897230018,False,201811.0,4,3.112699922639401,12.450799690557604,watch
Person 1 | Human Factors,Distraction,0.04680851063829787,-0.7600986220489193,-0.02630469690887194,False,202010.0,3,4.115434108618314,12.346302325854943,strong
Anomaly,Deviation - Altitude Excursion From Assigned Altitude,0.036170212765957444,-0.3881701781721537,-0.02986752308309916,False,201405.0,3,4.063655426198493,12.190966278595479,watch
Person 1 | Human Factors,Time Pressure,0.10638297872340426,-1.541914955221245,-0.05163588920112404,False,201909.0,3,4.026151658546756,12.07845497564027,watch
Person 1 | Human Factors,Training / Qualification,0.06170212765957447,-1.858641977583181,-0.018486551585708548,False,202309.0,3,3.764184254664163,11.29255276399249,watch
Anomaly,Aircraft Equipment Problem Critical,0.4085106382978723,1.9770655629550897,0.06181252509032514,False,202002.0,3,3.6043501832004834,10.81305054960145,watch
Anomaly,Conflict NMAC,0.08297872340425531,-1.3819198891940625,-0.023153352067442803,False,,0,8.297673297666758,0.0,none
Contributing Factors / Situations,Company Policy,0.019148936170212766,-0.24066518748419807,-0.0115114411882778,False,,0,6.070996744579031,0.0,none
Anomaly,Conflict Ground Conflict,0.10638297872340426,-0.16214163026985745,0.019118827780008035,False,,0,5.987013164550193,0.0,none
Anomaly,Aircraft Equipment Problem Less Severe,0.10425531914893617,1.1926253602903387,0.012274187073464476,False,,0,5.830065569004167,0.0,none
Aircraft 1 | Flight Phase,Landing,0.04042553191489362,-3.2377603657893355,-0.044480128462464866,False,,0,5.775063484142922,0.0,none
Aircraft 1 | Flight Phase,Takeoff / Launch,0.08297872340425531,-0.4850641686132611,0.01222400642312324,False,,0,5.712315739282408,0.0,none
Aircraft 1 | Flight Phase,Final Approach,0.12127659574468085,1.0172861099684523,0.008069048574869522,False,,0,5.356661648710083,0.0,none
Aircraft 1 | Flight Phase,Initial Approach,0.10425531914893617,0.5665029646953672,0.019349658771577682,False,,0,5.134329758114915,0.0,none
Anomaly,Deviation - Track / Heading All Types,0.036170212765957444,-0.9207308156377859,-0.036942994781212365,False,,0,5.107435324892927,0.0,none
Aircraft 1 | Flight Phase,Climb,0.11914893617021277,1.8210598203159227,0.005941389000401448,False,,0,4.968108878125256,0.0,none
Contributing Factors / Situations,Airport,0.11063829787234042,1.4976109148990204,0.035166599759132874,False,,0,4.953943901437587,0.0,none
Aircraft 1 | Flight Phase,Taxi,0.15106382978723404,0.7371470590182433,0.0024789241268566853,False,,0,3.6574399641299045,0.0,none
Aircraft 1 | Flight Phase,Cruise,0.2,0.8891501296549308,0.0207547169811321,False,,0,3.490888721199481,0.0,none
Contributing Factors / Situations,Human Factors,0.5382978723404256,-1.190677058169583,-0.00887193898032912,False,,0,3.4365998228150394,0.0,none
Aircraft 1 | Flight Phase,Descent,0.06808510638297872,0.4522948194985588,0.0020473705339221215,False,,0,3.313161441579936,0.0,none
Aircraft 1 | Flight Phase,Parked,0.08085106382978724,-0.03822258388712953,0.017171818546768372,False,,0,3.2581132774634747,0.0,none
